Autor,new_processed
@lokodelavida1985,hola hoy vi en sc de tenerife vi i3 aparcado en un cargador y no estaba cargando tenia el parasol puesto osea que ese coche se queda aqui y lo tenia enchufado pero no estaba cargando y el lo que estuve por ahi que fue dos hora estaba aparcado ese coche duerme seguro ahi uno termico aparcado en el otro aparcamiento
@bypelu,por que no hay muchos enchufables ahora mismo pero el dia que empiece haber mas cuando alguien quiera cargar por que lo necesite de verdad y vea eso se enfadara y rayon al canto
@fuckingrobert,ya me imaginaba lo que era solo por el titulo jajajajaja
@QuantumAlchemyst,el tio la vara hay que avisar al tio la vara
@raulmartinezmarguenda7059,toda la razon la culpa de la persona que gestiona el parking multa tomar por
@victormanuelmartinprieto2420,el problema esta en que quien hace eso no ve la critica ni estos videos amigo pero tiene solucion la unica que se entiende en nuestro pais multa sancion y castigo lo del civismo es una batalla perdida da pena mucha pena luego nos quejamos del rey de los politicos y de cualquiera que no seamos nosotros mismos pero somos lo que somos no todos afortunadamente queda gente con dignidad cada vez menos
@ersa8981,que vuelvan los marcadores saul no lo evitara pero el mensaje lo leeran y quiza aprendan
@Zirikatuz,soy de san sebastiam y seme cae la cara de verguenza al ver esto son unos desgraciados los que estan haciendo esto esta puta sociedad solo atiende a sanciones lo demas se la putasuda
@jesusm.2821,asi es tienes toda la razon yo tambien me pongo de mala hostia cuando va un ciclista por la carretera y tiene el carril bici al lado justo en ese mismo paseo de la concha y otros lugares hay de todo
@michelldmarco,se debe presionar a los politicos que bastante cobran que tomen cartas en el asunto una multa generosa mas trabajos sociales pa que sean serios
@navillaxsp,deberia dar verguenza tambien la aglomeracion que se ve al fondo al principio del video
@franciscoperez8940,saul creo que ante este tipo de actos de gente que no tiene respeto ninguno por las normas los parkings deberian tener algun sistema para impedirlo algun tipo de cartel advirtiendo que si no hace uso del punto de recarga sera sancionado con el pago de un dia de estacionamiento cuando pase su matricula por la caja a la gente que hace este tipo de actos no les importa el civismo y la educacion pero puede que una penalizacion economica si les haga pensarselo para la proxima vez el parking deberia tener la potestad de avisar a la policia y sancionar esa matricula a este tipo de gente que no demuestra respeto hacia los demas solo le duele el bolsillo yo no soy por ahora propietario de coche hibrido enchufable ni electrico pero si soy un gran usuario de la educacion y el respeto hacia el projimo te doy la enhorabuena por los conocimientos que nos compartes y el contenido del canal animo y gracias saludos
@SeDjEmAsH,welcome to spain
@ruparo,verguenza no tienen ya lo dice el palabro sinverguenzas
@pichonfarina,jajaja aparcan en vados en pasos de cebra en cebreados en salidas de autovia en la puerta de mi taller con la furgoneta dentro la puerta abierta y alli aparcan como no ivana aparcar en esas plazas mira la que cae con lo del coronavirus no respetan dostanvias ni mascarillas vam a respetar una plaza de aparcamiento
@marioginesta,es que no tienen consecuencias negativas la libertad no siempre es del todo buena
@davidvl3329,estuve ahi hace unas semanas no habia cobertura y tuve que arrancar la carga desde fuera aquel dia no habia ningun geta bloqueando los cargadores van a por ti
@victorhugosancheznaranjo1364,hola saul y no hay alguna legislacion que pueda hacer algo para multar a estos imbeciles me gustaria que fuera una multa como si te estacionaras en un cajon para minusvalidos
@sergimadruenoalvarez4933,esta tarde he visto en un trio de barcelona una nissan env200 aparcada en horizontal ocupando las dos plazas para cargar como minimo estaba enchufada igual que algun tesla que has mostrado tu en los superchargers menuda gracia
@josesantos127,muyyyyyyyy bien dicho mas tenias que haber dicho si senor sigue asi saludos y cuidaros mucho
@gerardogarciamartin7450,y no se puede denunciar al establecimiento este tipo de acciones yo tambien me cabrearia igual que tu saul
@albertolorenzosuarez9104,dale cana al rotulador
@lucianodibernardo1546,saul lamentablemente pasa en todos lados aca en italia tambien
@leyendanegra894,en este caso tienes toda la razon supongo que se deberia diferenciar entre plaza de aparcamiento y plaza de recarga con tiempo limite cosa que ahora no pasa y te encuentras con estos problemas saludos
@MsLuchoV,lo bueno ese peaso fiesta que no encuentra sitio para aparcar y quiere aparcar al lado de donde estabais jajaja y eso que no hablabas precisamente en voz baja en fin condicion humana es
@franciscoalbertogonzalezmu8988,no se tu pero yo si tengo que cargar con una braga arrastro fuera de la plaza al que haya
@mortimercrash560,asi va espanamuy atras en europa
@polloloko903,yo que tu me imprimiria cincuenta copias en un folio a4 y cuando vea algo asi se lo pegaria en el cristal pero con celo del gordo y por los cuatro lados asi la proxima vez al menos se lo piensa yo porque aqui en sevilla hay pocos sitios de electrico pero por si acaso llevare unas copias en una carpeta en el maletero junto a un celo de los de empaquetar de los gordos que cuando lo quitas hasta cuesta jejeje no violencia pero si que reflexione el personalcomo lo veis
@mauricioherrera5957,esto es como la gente que usa los lugares preferenciales a discapacitados
@polloloko903,olee saul que tio haces bien en denunciar esto el otro dia aqui en sevilla mi ciudad habia un audi a1 en una plaza de electrico y le deje una nota porque ademas era en un centro comercial y no era la primera vez que lo veia es decir que trabajara ahi y con lo grande que es el parking el tioa aparca donde los electricos y mira que hay sitios yo creo que es gentuza por dar porsaco
@tyrion2506,no me esperaba para nada que hubiera tanta gente con un vehiculo electrico que sabe como va la cosa con tan poca empatia con los demas
@ctabilo1983,pense que era por la cantidad de gente que hay por la pandemia
@JavierGonzalez-hd2jr,resumido la gente sobre todo en este pais va a su punetera bola eso es lo que pasa lo puedes ver todos los dias a todas horas y en diferentes facetas del dia a dia
@ivantormospozuelo2805,a ver cuando os pase esto es tan sencillo como hacer una foto y presentar una denuncia voluntaria en policia local cualquier ciudadano puede denunciar solo que si no eres agente de la autoridad encargado de la circulacion y de servicio es una denuncia voluntaria y requiere prueba para que no la archiven
@NELSONPSX,siempre admiramos a los europeos pero veo q tambien hay burrosburro viene en distintos idiomas
@TitoTrebol,ahi bien saul que se jodan y que se les vea la matricula a esa gente
@guillerb816,ya esta bien estamos preparados civicamente para la nueva etapa electrica normativa clara y severa ya
@joaquinserrato7902,eso deberia ser sancionable a ver si asi se enteran de lo que es la responsabilidad
@perepep4068,a mi ya no me sorprende nada lo que me sorprende es que no habitemos todavia en una cueva y comamos bayas y flores porque inteligencia ni para cazar un conejo eso los cortos despues estan los demasiado listos que tienen que ir regateando su propio morro porque les llega al suelo
@gergames1974,aqui estan empezando a poner barreras de aparcamiento en los parkings privados con enchufe no hay otra solucion entras te dan la llave bajas la barrera y a cargar que pena que todo lo tengamos que hacer de esa manera xd
@alejandromoreira9896,saul spain is diferent
@PachaJavi,el egoismo humano saul eso es lo que vez cada ves un coche sin enchufar en un punto de carga
@gabrielvc6603,esto es como todo se soluciona con multas y listo luego llegaran los iluminados diciendo que si afan recaudatorio que es mejor educar que falta informacion y gilipolleces varias pero el ser humano es asi de gilipollas solo espeta las normas si le cuesta dinero y el primero que deberia poner sanciones es el parking pero lo mas hiriente de este video es que son los propios interesados los que rompen las normas hay q ser imbecil luego se quemaran cuando esten todos s los puntos de carga ocupados en cualquier sitio y no puedan continuar su viaje
@robertoabeniauliaque1728,y sobran todas las explicaxiones
@FranciscoRam,hombre saul la proxima vez pide a tus amigos que aparten el coche de ahi pa grabar el video que eso ha quedado feo a pesar de las explicaciones
@lluispascualroca1731,porque llevas sesenta y cinco no me gusta la gente es to
@vader288,ahi saulduro con ellos
@raulnet,hoja adhesiva de tamano a4 donde ponga esto es una estacion de carga para vehiculos electricos no es un aparcamiento el mismo tiempo que he tardado en buscar otra estacion de carga libre vas a tardar tu en quitar la pegatina del cristal y pegarla en el campo visual de la luna delantera
@diegodelahoz1690,el del ford fiesta q llegaba cuando terminas el video se estaba pensando aparcar en el sitio libre q habia para cargar
@vitlangara,yo probaria a ir a un punto de informacion con las matriculas de los coches y haria que los llamen por megafonia con las matriculas indicando que son vehiculos termicos aparcados en plazas de vehiculos electricos los cuales necesitan repostar
@ikerizagirre4989,llama a la policia municipal para que los denuncie
@CARSCOCHES,hola por favor sigueme en twitter
@js2797,jajajaja ese que se ve al final llevaba toda la intencion
@mariorodriguezruiz8519,como ideaexiste en algun sitio cargadores con algun tipo de bolardo que solo se baje y te de acceso una vez que te hayas conectado vamos que te cobre una tarifa de acceso que luego se pueda descontar del total que cargas
@joseantoniog6246,no me quiero ni imaginar si alguien aparca en un surtidor esos electricos igual se piensan dentro de su cara dura que son plazas de aparcamiento reservadas para vehiculos electricos
@leonevinci,la solucion mas real es poner los cargadores lo mas lejos de la puerta
@eusebiolivares3415,por desgracia saul es una batalla perdida la gente va a la suya y lo demas se la suda y por ponerte otro ejemplo el que si aparca bien caben dos pero para eso hay que hacer maniobra y lo deja tal y como llega en fin y asi podriamos estar hasta aburrirnos hay gente amargada y malecudaca pero haces bien en denunciarlo gracias por el video y la informacion
@byjoshucod5040,yo hubiera llamado a la policia y que les hubiera metido una multa a cada uno de esos coches que no estaban enchufados y tambien los que son de motor termico una verguenza
@jnmorales2081,si hay gente que pasa de las mascarillas aun pasa mas de no ocupar puesto de recarga
@andrespg8384,comparto tu enfado pero no me sorprende lamentablemente hay mucha gente asi y sospecho que en general somos asi no solo pasa con las plazas de carga de vehiculos electricos que no de estacionamiento o las de minusvalidos ahora que estamos sufriendo una pandemia pasa con el uso de las mascarillas la gente no se las pone o se las cuelga del cuello tambien pasa con el tabaco en general somos egoistas y mal educados tienen que prohibirnos las cosas y aun asi seguimos haciendo lo que nos apetece
@Swapper,yo uso el hashtag aparcascomoungilipollas y ademas tengo unos papelitos muy chulos donde se le dice eso al cretino de turno y se los pongo en limpiaparabrisas en mi caso cuando estan encima de un paso de peatones o en minusvalidos ya que aun no me he pasado a los coches a pilas
@tomaschan5874,ponle un papelito en el parabrisas este sitio esta reservado solo para coches electricos y ademas que esten cargando
@guagiro1301,perfecto me encanta este video y muy bien hecho por denunciarlo y reclamarlo en este video pero ademas de este video que seguramente los duenos de esos autos mal aparcados no van a ver que cono estas haciendo tu para hacerle ver a ellos a los propietarios de esos vehiculos que alli no se pueden estacionar a ver saul sube un video que con dos cojones reclamandoles a esos gilipollas que alli no se pueden estacionar y dejate de pavadas que como tu bien dices en ese video a ellos se la soplan y reclamales de frente a sus duenos
@lluisespinasaroviral7180,muchos no saben lo q un punto carreta otros unos jetas
@casan1095,que le ponchen las llantas a los que no esten enchufados
@nicolasbarck210,a mi esa playa me queda en la concha de la lora
@davidsonike,menuda banda de sinverguenzas
@quintad3368,no les pueda dar verguenza ya que de eso mismo es de lo que carecen
@georgeglez8076,es cosa culturalen todas partes del mundo hay cada carbon
@gloriarg4072,y esto no se puede denunciar
@pmendez,que puta verguenda por dios yo estube en ese parking y en efecto vi eso claro no soy youtuber y tampoco tenia el tiempo para denunciar
@Reggie_BB,pasate a la mascarilla electrica
@albertopiqueras252,no solo para con eso saul pasa con todo cuantos facilitan una incorporacion teniendo el carril izquierdo libre cuantos ponen el intermitente al salir de las rotondas cuantos mantienen distancia de seguridad cuantos sirvan en zonas de minusvalidos cuantos aceleran cuando ven que les vas a adelantar cuantos circulan por carril central en autovia con tres carriles por sentido falta respeto y pensar en los demas esa gente con respetar el limite de velocidad ya se creen que lo estan haciendo bien claro que eso una parte de culpa la tiene la jodete hoy perdon la dgt que piensa y trasmite que la unica regla de circulacion importante sin los limites de velocidad lo demas va lo demas no es importante
@inakicastillolitago9746,ul_lopez es el primer ano que tenemos cargadores en los parkings de donosti y empezamos asi otro vicio habitual es enchufar en los de ibil de la calle para no pagar ota pero bajando el amperaje para no comerte las tarifas de los amigos en ese parking me he sentido yo idiota por ir a aparcar a una plaza normal viendo todos los desenchufados que habia en las plazas de carga
@setlaoui,la lei no contempla llamar a una grua
@aritza6801,tranquilo hombre si total los electricos no valen para viajar ironic mode off
@thetritton1019,llama a la grua y que se los lleven
@samuelsantana4523,eso es lo que siempre pienso cuando veo que la gente ocupa los puntos de cargasean termicos o electricos que no cargan a mi me hacen flaco favor porque no tengo donde cargar en casa y dependo de los puntos del cabildo y o de algun centro comercial hace falta mas civismo mas mano dura y mas puntos de carga
@franciscojaviertoledorubia2839,totalmente sobre todo los electricos que conocen de nuestras limitaciones al tener vehiculo electrico y que por circunstancias podemos tener un apuro y que tengas una necesidad real de carga y que encima que llegas al cargador este ocupado por un companero que se cree que tener vehiculo electrico es una especie de preferencia para aparcar en las plazas reservadas para vehiculos electricos aunque no tengan necesidad de cargar
@hcta,es verdadque no piensan gentenormal que te pones asi yo tambien me pondria igual de mala ostiay es verdadimaginar os que los electricos aparcarian en surtidor del petroleo y iria por ahi en fin solo con videos asi se puede ensenar a la gente que hay por ahi gran videosaul
@carlosrumbopedreira5470,a mi tambien me tocan los cojones viva la educacion de civismo
@josegarcialadrondeguevara1804,esto es espana las normas estan para saltarselas
@marcgr2000,hay gente que aunque llegue puntual llega con retraso
@rasador941,y poco se habla del distanciamiento social a la mierda
@andresseguracano8746,que demonios piensa la gente preguntas en general la gente no piensa aun no lo has aprendido un saludo gran trabajo
@fernandobrito4670,la solucion a eso es una camara en cada cargador y si estaciona un vehiculo que no esta cargando por mas de quince minutos una multa con foto
@andrey_7418,hay que hacer fotos a los coches es legal porque es un lugar publico y que se vea las matriculas y colocar las fotos en lugares publicos como ejemplo negativo
@josereinamartinez5306,toda la razon
@mirrowsedge2707,doscientos treinta y seis ella del ford creo que aparcare por aqui que esta libre
@CharlyOR,saul sin animo de ofender el caso de tu amigo no debio ocurrir estoy de acuerdo en criticar lo criticable pero el buen samaritano por su casa empieza eso de estacionarse solo por un rato solo son cinco mins nada mas en lo que subimos bajamos no si ahi dice que es solo para enchufar es asi y punto el solo motivo de llegar y encontrar estacionado alguien que no deba estar ahi y pedirle por favor que se mueva ya es estresante por que no sabes que tipo de reaccion vaya a tener la otra persona espero no ofender a nadie con mi comentario pero las cosas con el deber ser por favor
@AsaltaViejas,ah pero luego la gente se enoja si alguien sano se estaciona en el parking de minusvalidos perdon por el ejemplo pero es lo mismo la gente es irrespetuosa con los demas
@rafaelcontreras7165,simplemente no hay educacion ni civismo esto deberia estar multado y no con cien sino con una multa que le duela a mas de uno el bolsillo veras como para la proxima se lo piensa dos veces si esto ocurre en san sebastian pues en el resto de espana pasara tambien es lo que hay y habra que aguantarse mientras que no hayan penalizaciones a mi me ha indignado ver esto asi que el que vaya a cargar su coche y se lo encuentre mucho mas indignado quedara
@boquinauer,y que dicen los vigilantes del parking no les van a dar un toque deberia poner algun tipo de aviso incluso alguna tarifa extra algo tan simple disuadiria a los listillos un saludo
@mig29ba,la estupidez humana es infinita mi estimado y lo peor es que pareciera que no tiene limites
@peritomoreno981,solo se puede decir que tienes toda la razon y alertaria a los electrico que no estan enchufados y ellos lo saben bien que cuando llegas con otro electrico sin carga en la bateria aparte de ponerte de mala hostia asustado por que te puedes quedar tirado te entran los nervios y puede pasar cualquier cosa por favor un poco de decencia
@Ru-et4gj,si fuera por mi sobretodo en sitio de minusvalidos les patrocinaba la gracia michelin una y no mas santo tomas
@joanantonim.p.2400,te apoyo con esto al doscientos como siempre spain is different el frances el unico que parece europeo si hubiera o hubiese vigilancia en el parking tendria que poner cartas al asunto me ha parecido esplendido que lo divulgues en la red
@juanantonioch519,la multa es lo unico que entienden algunos
@franperez2963,con la de parados que engrosan la lista del paro podian contratar a un vigilante y solucion al canto lo de la mascarilla ya lo sabes
@jeffpinero3773,hay unos stickers del tamano de una pagina oficio que se colocan en los centros comerciales cuando estas mal parkeado a todos en algun momento nos han colocado alguno y como cuesta sacarlos yo creo que deberia aplicar colocarles el sticker junto a un preservativo y el aviso que indique no te reproduzcas
@cristhianurrego3205,lo peor del tema es que los mismos administradores o el ayuntamiento no hacen control de esta situacion y multa a los que no deben estar alli
@cristhianurrego3205,saul el tema es falta de conciencia ciudadana lo peor del tema es que no solo pasa en tu pais sino en varios las personas en general no piensan en los otros
@jesusandreu3556,tienes toda la razon saul hay mucho listoooooo si no vas a cargarno se debe aparcar
@rdlago,no tengo electrico pero si lo tuviese y me encontrara ese percal les aparco delante enchufo el cargador y si se tienen que ir que se fastidien que me busquen para quitarlo
@alemarino1190,y el rotulador supongo que esta en huelga
@holaeduardorios7738,si no hay sancion nadies respetara
@davidballester8886,por desgracia yo lo veo ya normal donde vivo hay una zona de carga con techo para cuatro coches electricos y hasta hoy todos los coches que he visto aparcados son de combustion y asi seguira
@wolrer350,me voy a poner de tono de llamadaenchufa tu coche cono trescientos catorce
@ruben.garris,tienes toda la razon la gente es egoista y desconsiderada y cada vez va a mas
@albert_sanch,tendria que estar legislado y multa cada vez que ocurrieran estas cosas es la unica solucion para que esta sociedad cumpla esta visto que no hay otra manera luego se quejan que todo esta regulado y cada vez tenemos menos derechos
@holaeduardorios7738,lo que no esta prohibido esta permitido
@chemita79,saul tapa las matriculas cuando edites los videos algun tonto te puede buscar un lio
@DanielGaminoCano,el no preocuparse por la sociedad que dano hace
@endikamesonero,porque tiene tapiceria blanca si no igual podia ser el de antonio lobato que estuvo por alli
@enriqueaparicio6723,es espana que quieres
@h2oyrox2,termico en plaza electrico multa electrico en plaza sin uso multa lamentablemente aprendemos asi o sino porque pensais que la gente no aparca en los reservados para minusvalidos por civismo o por miedo a la multa
@alfonsobf,bienvenido al mundo asi con todo
@orl3on,pues muy bien dicho tienes toda la razon la gente es muy ignorante y gilipollas
@masgas-davidcantero3416,ahi tenias que haber usado el rotulador ese que tienes para pintar en los parabrisas y te le habrias gastado con todos esos jetas
@RICARDONOLBERTO,a mi me pasa tambien en donde hay menos tomasy que haces o te pones malo o disfrutas el ir a a donde vas y olvidar para no alterarteo rayar el coche y luego el vendra a por ti y asi si aparcas cercaen fin deberia denunciarse y que la policia local les envainara una tras otra una multa a cada uno de estos y no ir al centro comercial a llorar debiera haber algo que actuaran y se acabaria
@ivancito7712,yo odio cuando voy al parking del supermercado y esta el tipico listo que tira el coche ocupando dos plazas y se la pela los demas
@David.B.V,pena de que al ser parking particular no se puede multar pero vamos al final se pondran cepos y para pedir la plaza tendras que dar los datos
@julianjosesoriatrenco6715,si hubiera vigilancia por un guardia de seguridad esto no pasaria por desgracia alguna gente hay que ensenarles asi con vigilancia poniendo orden
@the_amazing_hugo3975,lleva un martillo y revientales las lunas
@petargueorguiev2467,lo suyo es que los duenos de los aparcamientos tomen nota pongan carteles con advertencia y cobren suplemento por aparcar mal ya que tienen camaras a base de hostias se acaban las tonterias yo me ponia un pasamontanas y con un clavo grande le hacia dibujospara chulo mi piruloya veras que la proxima vez aparcan en la otra punta del aparcamiento mucho animo saul y un saludo
@alexanderduranguerrero5039,se la soplan todos
@amadolinares1907,vaya tela la gente tiene muy poca verguenza es para ponerles algo en el coche un mensajito
@krakaweb,y las matriculas no se supone que no podian mostrarse en un video a saul le podria caer un puro por mostrarlas
@frangonzalez733,es un problema de educacion nada mas cosa que nos falta mucho en este pais hay que ser zoquete
@aac6563,y donde esta tu marcador que no les dejas un autografo en el parabrisas
@OskarElSombra,la gente se queja siempre de los termicos que se la pelan pero a mi me cabrea mil veces mas el que puede cargar pero ni si quiera enchufa cojone enchufa aun que sea mentira el dia que se pueda denunciar igual que si aparcas en minusvalido ojo que tengo un centro comercial cerca que ya se llevo algun coche que otro por aparcar asi es como los que tienen la tarjeta de minusvalido por tener algun familiar con movilidad reducida y aparca en minusvalidos sin llevar a esa persona en cuestion es para inflarlos a ostias
@hcasal5558,existen unas bolitas de plastico maravillosas tipicamente usadas para pistolas de bolas y muy muy baratas quizas si quitases un par de tapones de ruedas metieses una dentro y lo vuelves a apretar no seria muy etico pero seguro que tambien entienden lo que jode no poder continuar siempre se puede reparar una rueda pero dos no es tan facil lastima que no todos seamos asi pero de verdad que hay cada gentuza suelta
@siriusjjc,tarifa doble de parking y veras como aprenden
@JoseLopez-io6ll,voy a parar con ev en surtidores para comprar chicles y mear esto es la leche
@arturogb5073,se ha demostrado que sin leyes no hay civismo somos asi para todo multas y grua solo entendemos eso
@Ignasipontconduciendo,saul esos coches tendiran que ser multados por ocupar una plaza de carga de coche electrico sin cargar
@jmfdc1973madrid,no hay cultura por eso nos va como nos va
@TheSilvarujo,pegar em meia duzia de eletricos e ir estacionar numa gasolineira
@JDGDOMINGUEZ,os ricos pensades que o mundo xira o voso son non tedes respecto grabas todas as matriculas menos a tua e a do teu colega non sei se os donos deses coches che firmaron un documento de proteccion de datos
@sildima100,primero yo y luego yo
@lendines,saul eso es la marca espana nuestro distintivo la cara dura la sinvergonzoneria el para que me joda yo te jodes tu y aqui las pataletas no sirven para nada un saludo y paciencia
@rubenmalaga,si nadie puede sancionar a los que inhabilitan una plaza de recarga electrica me parece interesante dejarles el coche aparcado justo detras q tampoco nos sancionaran se les deja una nota me he ido a por corriente ahora nuestro tiempo vale lo mismo
@jaimegarciacano,he parado en el cuarenta sera algun gracioso aparcado en una plaza de carga me la juego un coche electrico en una plaza de carga y con el cable desenchufado sigo viendo
@OscarLopez-ur2vm,a mi lo que me jode mas es el listo que carga sus electricos que no son tesla en cargadores destinados para tesla espero que tesla se ponga en ese sentido las pilas llevo cinco meses con mi model tres y todavia no he sido capaz de cargarlo en parquesur un dia un ds otro dia un jaguar es la leche
@JoseTadeo_14,tienen la cara como un muro de ladrillo
@nosesitusabeok,yo me quedo flipando con eso en mi zona an construido un centro comercial nuevo lagoh en sevilla con plazas para electricos las cuales cada vez que he ido estan al casi cien ocupadas por coches de motor termico vamos tengo un electrico necesito cargar y me pasa eso y directamente llamo a la grua o arrastro al susodicho coche fuera de la plaza
@toyota4600ay,que esperabas hay gente muriendo por el covid y se la suda le van a importar aparcar ahi incluyendo a los extranjeros que llegan a espana y se piensan que toda ella es un resort donde pueden hacer lo que les da la gana ah eso si como se te ocurra a ti un espanolito hacer eso o cualquier otra cosa fuera de tonopara que seguir escribiendo
@nordstatplay8306,lo q tendria que hacer un electrico que llega y no puede cargar cruzarle el coche detras y que com el cable supongo que daraque ponga el suyo a cargar y de paso que bloquee al caradura
@nelsonhernandezcontreras7498,multas o infracciones esa es la solucion
@aikido.fusionyarmonia.,quitate el bozal para hablar hombre te vas a axfisiar
@vmqt26,te entiendo muy bien saul a nosotros nos pasa con los aparcamientos para minusvalidos y sobre todo en los supermercados te encuentras casi todos ocupados y hasta aparcan en las lineas blancas que estan hechas para poner la silla de ruedas
@angelbull48,bueno freddie spencer mensaje recibido lo primero es que eres un falton yo no meto a tu madre en esto lo segundo y mas importante es que eres un jeta porque ya dasa entender que si que lo haces e de igual modo que te jode el coche tu estasjodiendo el viaje a quien necesita ese punto de carga para seguir mientras lo tuyo es comodidad jeta que es lo que eres
@Lord_Belial,pasa lo mismo con los aparcamientos de discapacitados que lo veo aun mas grave pero esto es espana y la gente funciona asi falta mucha verguenza y menos cara en este pais
@ovi9610,falta de civismo y educacion pero lo peor es que lo hagan los propietarios de electricos teslas etc falta educacion de noruega ver videos de bjorn nyland en los que todo el mundo cumple escrupulosamente los treinta mins de carga y luego lo mueven a otro sitio saca el rotulador blanco y escribe en los parabrisas
@jesusperez3796,saul si la gente aparca el los supercargadores de tesla al aire libre que vas a esperar en un subterraneo
@evolucion7alf,a la gente les suda la po o no lo quieren entender
@supercell3070,deberias de hacer lo mismo en los puntos de gasolina para que los jodas
@josemariagonzalezromero8896,momento idoneo para sacar el rotulador blanco
@fmchenlo,en lineas de carga van a tener que poner un asistente humano termico que quiera entrar sacarlo antes que lo intente y electricos solo carga incluso que avise por mensaje al titular cuando la carga este completa asi no lo dejan todo el dia y en caso de dejarlo cobrarles un parking costoso
@oscartenerife9831,grande saul
@alean4862,es como los que aparcan en el vado y te hartas a pitar
@alean4862,y no hay encargado en ese parking o aparcar delante y que no puedan salir
@juankr-,el parking deberia identificarles y sumarles al coste del aparcamiento el coste de recarga no utilizada por ocupar esas plazas asi la proxima se lo pensaban dos veces el civismo en espana es un bien escaso
@josegarciadelamor5396,no se si lo contempla la normativa pero si no deberia legislarse asi si pasa eso llegas llamas a la grua y se llevan los no enchufados simple mientras llega esa grua aparcas delante de un vehiculo no enchufado y si es posible con un alargador empalmas hasta tu coche para no perder tiempo de carga
@pacosanchez4691,saul adelante con el rotulador blanco jajajaja
@brastor,la gente les falta respeto y sentido comun solo hace caso cuando les lavan el cerebro desde la television y las rrss
@jesusasencio7082,mas denunciable son los reservados para minusvalidos
@LEKEITIO1979,se llama falta de respeto es asi no hay mas te entiendo
@josuevz0,saul eso es mi dia a dia me compre mi primer tesla coche electrico y coche hace dos meses no tengo punto de carga y cada vez que voy a cargar en cc me encuentro con esto o que no funcionan los pdr por suerte existen los supercharger pero siempre trato de evitarlos para no estropear la bateria saludos
@EduardoGonzalez-rc6kk,queda mucho camino por recorrer recien llegado de mis vacaciones en portugal con mi model tres que me decis de aquellos que ocupan plaza de electrico cargan su coche pero se despreocupan de retirarlo cuando han cargado el cien hablemos tambien de prioridad hibrido enchufable vs electrico puro en fin esto da para un rato
@robertoallende3630,a que en esos puntos cobran por cargar vaya morro tienen algunos
@ernestodominguez3857,lo tienes facil saul envia el video a la policia local guardia civil yo donde corresponda y tomen las medidas reglanentarias ya que se ven claramente las matriculas si todos lo hicieran seguro que nos iria mucho mejor
@Morrison7,esta muy bien la critica saul pero puedes cuidar tus modales y tu vocabulario la proxima vez no hagas el video en caliente sereno te salen mejor y tu tono acido criticando se hace mas interesante piensa en nuestros hijos
@fernanshay,hahahhahahaha sip la verdad molesta
@robertoguerreromartin4971,deberian sancionarlo
@mateolopez2509,al final del video se ve un coche termico que llega a la altura del estacionamiento con pdr que estaba libre intento meterlo ahi
@alexyaurizevallos244,es tan jodido imagina un monton de vehiculos estacionados en una griferia
@albertoecker5196,yo solo pensar que tuviera una urgencia para poder cargar y encontrarme con eso es bufff multa a diestro y siniestro hay jetas por todos los laos cagun les pites
@Josanmoret,saul lopez te veo tan cabreado que hasta la mascarilla la llevas al reves la gente no tiene las cosas claras aun con los vehiculos electricos saul haz cursos de formacion para propietarios de electricos sobre las buenas practicas de uso con los electricos esto lo veo a diario en los aparcamientos privados por desgracia la gente no tiene conciencia civica
@nesthorvilla9965,la gente piensa que no hay coches electricos si lo dice el director le la dgt eso su que es una verdadera verguenza
@blascargar4252,si aparcan en plazas de minusvalido o en vados no van aparcar ahi
@maevaz8770,saul esto es impresionante con la gente y con lo de la mascarilla y la distancia en el bar de atras es igual
@ricardomuor,totalmente de acuerdo
@josecarmonafernandez149,menos mal que en espana no podemos llevar armas como en estados unidos por que con el rebote que llevas no se que abrias hecho
@diegorp5651,ahahahhah ce mamaron
@androidlogin3065,cuando se aplicaran las multas de cien a esos sin verguenzas son plazas reservadas que se aplique la ley de una maldita vez y los sancionen y ya veremos si siguen haciendolo
@bernardcalvo,pues date un paseo por el parking de la estacion de autobuses vas a flipar
@salvadorllansola2754,asi nos crece el pelo es la educacion que tenemos
@davidgaliana3969,en espana no existe la verguenza
@Jorcivic,y reza que no te peguen un portazo ya se sabe la educacion envidia y egoismo que existe por estos lares y todo lo que no es de uno pues respeto y consideracion cero
@javierruiz5028,las plazas con punto de carga deberian de estar al final del parking que solo quisiera ir quien quiera cargar
@javierruiz5028,cartelito poco mas puedes hacer
@GonzarupaEBYC,no tendrian porque pero los de seguridad del parking podrian hacer algo no se si estan capacitados para multar o llamar a las autoridades para proceder a una denuncia pero deberian de darse de vez en cuando alguna que otra vuelta por donde buenamente puedan sin desocupar por completo la sala de monitoreo e intentar ayudar en estas cosas
@ignaciolopezresano3353,like
@blackball255,esto ocurre con las tarjetas de minusvalidos desde hace mucho tiempo y eso si es preocupante porque puede arruinarte una visita
@alaynf5293,disfruta de mi pueblo
@1996MiguelAngel1996,duda legalmente se puede llamar la grua para que se lleven el coche
@Ibarra20091,problemas del primer mundo
@joseurena6549,es que no tenemos normativa ahora dependemos del nivel eticoeducativo de los conductores eso debe ser puesto bajo leyes y con penalidad
@enricdelpozocoma.433,estamos en un pais donde al personal se le da muy bien salir a los balcones a aplaudir y parecer muy solidario pero un pais experto en dar por el saco al projimo y donde se aplica el refran de vaya yo caliente riase la gente mucho golfo suelto
@amenophisvlc688,aqui lo mismo
